,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,val_star_rating,age_min,age_max,AT,AU,BE,CA,CH,CZ,DE,DN,ES,FI,FR,GB,IE,IT,LU,NL,NO,NZ,PL,PT,US,Angry Birds™,Architecture,BOOST,Blue's Helicopter Pursuit,BrickHeadz,Carnotaurus Gyrosphere Escape,City,Classic,Creator 3-in-1,Creator Expert,DC Comics™ Super Heroes,DC Super Hero Girls,DIMENSIONS™,DUPLO®,Dilophosaurus Outpost Attack,Disney™,Elves,Friends,Ghostbusters™,Ideas,Indoraptor Rampage at Lockwood Estate,Juniors,Jurassic Park Velociraptor Chase,LEGO® Creator 3-in-1,MINDSTORMS®,Marvel Super Heroes,Minecraft™,Minifigures,NEXO KNIGHTS™,NINJAGO®,Power Functions,Pteranodon Chase,SERIOUS PLAY®,Speed Champions,Star Wars™,Stygimoloch Breakout,T. rex Transport,THE LEGO® BATMAN MOVIE,THE LEGO® NINJAGO® MOVIE™,Technic,height,width,length
14,29.99,13.0,708.0,4.7,7,41597.0,3.0,253,4.8,4.8,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
15,19.99,1.0,234.0,3.0,9,41614.0,2.0,476,5.0,5.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
16,19.99,1.0,160.0,5.0,10,41613.0,1.0,436,5.0,5.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
17,9.99,1.0,149.0,2.0,12,41609.0,1.0,126,3.0,4.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
18,9.99,1.0,141.0,2.0,12,41608.0,1.0,264,4.0,4.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
19,9.99,3.0,101.0,4.0,9,41604.0,3.0,298,4.7,4.5,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
20,9.99,2.0,105.0,3.0,9,41605.0,2.0,631,5.0,5.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
21,9.99,1.0,113.0,5.0,8,41606.0,2.0,584,5.0,5.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
22,9.99,1.0,136.0,5.0,11,41607.0,2.4669802077209484,246,5.0,5.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
23,9.99,2.0,91.0,3.0,11,41485.0,2.0,211,4.5,4.0,10.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,5.0
